gpu_uuid,precision,N,warmup_reps,timed_reps,mean_ms,std_ms,achieved_tflops,theoretical_tflops,percent_theoretical,status
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,FP32,1024,10,30,0.061412267138560614,0.00910279456286677,34.968317374682954,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,FP32,4096,10,30,2.546283745765686,0.12212032092790735,53.97629140921649,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,FP32,8192,10,30,20.625155194600424,0.1567939019471013,53.30925354994891,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,FP32,16384,10,30,168.21597442626953,0.8666153177810565,52.29047391134307,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,TF32,1024,10,30,0.0415530660500129,0.0039350872622225894,51.68051005948171,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,TF32,4096,10,30,1.5978773315747579,0.04009428918449004,86.01345720109167,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,TF32,8192,10,30,12.307777055104573,0.19359185205446622,89.33470462239033,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,TF32,16384,10,30,99.31208165486653,0.6369653192375304,88.5702210208074,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,FP16,1024,10,30,0.031069866816202798,0.0018508548529470982,69.11789035671363,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,FP16,4096,10,30,0.7859882632891337,0.025408174806992756,174.86133049475535,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,FP16,8192,10,30,6.641195758183797,0.16733623447615423,165.55928597965152,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,FP16,16384,10,30,49.09400431315104,0.26520910641093953,179.1683759609674,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,BF16,1024,10,30,0.09636160011092822,0.011061547485344912,22.285678584912343,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,BF16,4096,10,30,0.7959882716337839,0.017870361107769416,172.66454591083792,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,BF16,8192,10,30,6.3109205563863116,0.16881400109332798,174.22365215219727,,,SUCCESS
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,BF16,16384,10,30,48.66952018737793,0.1523411602264947,180.7310404611139,,,SUCCESS
