gpu_uuid,operation,arithmetic_intensity_flops_per_byte,expected_side
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,elementwise_add_fp32,0.08333333333333333,memory-bound
GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,matmul_fp32_N8192,1365.3333333333333,compute-bound
