timestamp,gpu_uuid,graphics_clock_mhz,memory_clock_mhz,temperature_c,power_w,utilization_percent,elapsed_s
2026/09/16 01:58:11.131,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,585.0,405.0,37.0,15.6,100.0,0.03466936900076689
2026/09/16 01:58:16.175,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2505.0,10251.0,56.0,448.65,99.0,5.080795231999218
2026/09/16 01:58:21.226,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2490.0,10251.0,58.0,449.2,99.0,10.124391754001408
2026/09/16 01:58:26.264,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2490.0,10251.0,60.0,449.2,99.0,15.164399338002113
2026/09/16 01:58:31.305,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2490.0,10251.0,62.0,449.13,99.0,20.20956412600208
2026/09/16 01:58:36.348,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2490.0,10251.0,64.0,448.66,99.0,25.24794545000259
2026/09/16 01:58:41.389,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2475.0,10251.0,66.0,449.83,99.0,30.300571148000017
2026/09/16 01:58:46.437,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2460.0,10251.0,67.0,450.04,99.0,35.34133483199912
2026/09/16 01:58:51.486,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2475.0,10251.0,67.0,449.87,99.0,40.391137604001415
2026/09/16 01:58:56.530,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2475.0,10251.0,68.0,448.79,99.0,45.4383710530019
2026/09/16 01:59:01.580,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2445.0,10251.0,69.0,449.17,99.0,50.48431486800109
2026/09/16 01:59:06.620,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2460.0,10251.0,70.0,449.62,99.0,55.5190529620013
2026/09/16 01:59:11.659,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2445.0,10251.0,71.0,449.58,99.0,60.558750799002155
2026/09/16 01:59:16.707,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2430.0,10251.0,71.0,450.07,99.0,65.60831363699981
2026/09/16 01:59:21.749,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2430.0,10251.0,72.0,450.02,99.0,70.64809388900176
2026/09/16 01:59:26.782,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2445.0,10251.0,72.0,449.61,99.0,75.68274324500089
2026/09/16 01:59:31.823,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2415.0,10251.0,72.0,449.89,99.0,80.72989415900156
2026/09/16 01:59:36.868,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2430.0,10251.0,72.0,449.69,99.0,85.7766195639997
2026/09/16 01:59:41.908,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2430.0,10251.0,73.0,449.71,99.0,90.80951391400231
2026/09/16 01:59:46.948,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2430.0,10251.0,73.0,450.17,99.0,95.85576813300213
2026/09/16 01:59:51.995,GPU-3094e1cd-3205-910b-9555-93d8401b1ce0,2460.0,10251.0,74.0,449.64,99.0,100.90105693800069
